NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307180955.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220307181254.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312225903.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220308075556.CSV"
597,R.,R715,039.0 o,39.0 o,44.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230015.CSV"
597,R.,R715,039.0 o,39.0 o,44.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230254.CSV"
597,R.,R715,039.0 o,39.0 o,43.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230357.CSV"
597,R.,R715,039.0 o,39.0 o,44.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230112.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230206.CSV"
597,R.,R715,039.0 o,39.0 o,43.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230859.CSV"
597,R.,R715,039.0 o,39.0 o,44.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230442.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230816.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230944.CSV"
597,R.,R715,039.0 o,39.0 o,43.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231112.CSV"
597,R.,R715,039.0 o,39.0 o,44.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231216.CSV"
597,R.,R715,039.0 o,39.0 o,44.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231345.CSV"
597,R.,R715,039.0 o,39.0 o,44.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312230730.CSV"
597,R.,R715,039.0 o,39.0 o,44.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231431.CSV"
597,R.,R715,039.0 o,39.0 o,44.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231302.CSV"
