NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043137.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043003.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043507.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043334.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043641.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043419.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043904.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043818.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043734.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044037.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044133.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043553.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043952.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044311.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044449.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044225.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044357.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044620.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044751.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044927.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044837.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045110.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316044705.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045253.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045024.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045533.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045716.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045800.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045633.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050109.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050328.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316045840.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050200.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050410.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050246.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050614.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050654.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050528.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050814.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050449.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050856.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050734.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316050939.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316051100.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330110401.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316051018.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316051329.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330110525.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316051140.CSV"
597,R.,R715,039.0 o,39.0 o,41.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316051919.CSV"
597,R.,R715,039.0 o,39.0 o,40.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330110754.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330110838.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330111006.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330111608.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330112257.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330112756.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330110921.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330111052.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113010.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330112701.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330112617.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330112849.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113114.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113157.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113329.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113432.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113242.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113559.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113703.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113818.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330113933.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330121938.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330114157.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122045.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122315.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122201.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122406.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122448.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122533.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330114112.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122616.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122700.CSV"
597,R.,R715,039.0 o,39.0 o,40.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122832.CSV"
597,R.,R715,039.0 o,39.0 o,40.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122956.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122916.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123051.CSV"
597,R.,R715,039.0 o,39.0 o,40.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123136.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123547.CSV"
597,R.,R715,039.0 o,39.0 o,40.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123720.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123637.CSV"
597,R.,R715,039.0 o,39.0 o,41.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330123816.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124113.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330122747.CSV"
597,R.,R715,039.0 o,39.0 o,40.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124025.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124201.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124245.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124415.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124507.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124557.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124742.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125105.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125243.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330124332.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125333.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125423.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125513.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125746.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130104.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125602.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130015.CSV"
597,R.,R715,039.0 o,39.0 o,41.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125657.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130147.CSV"
597,R.,R715,039.0 o,39.0 o,40.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130411.CSV"
597,R.,R715,039.0 o,39.0 o,40.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130512.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130720.CSV"
597,R.,R715,039.0 o,39.0 o,41.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330125841.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130813.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054008.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054107.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054224.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054546.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054718.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054631.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054803.CSV"
597,R.,R715,039.0 o,39.0 o,40.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220330130624.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054844.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402054930.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055013.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055143.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055224.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055356.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055309.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055522.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055740.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060042.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055822.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055944.CSV"
597,R.,R715,039.0 o,39.0 o,43.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060524.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055439.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402055903.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060127.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060614.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060908.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060828.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060659.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402060741.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061157.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061104.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061319.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061514.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061642.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061600.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061359.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061236.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061807.CSV"
597,R.,R715,039.0 o,39.0 o,43.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061851.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402062330.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061933.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402061726.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402064308.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402062246.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065007.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065221.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065049.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402064642.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065307.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065713.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065455.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065628.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065136.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065844.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065800.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065928.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070012.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402065543.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070140.CSV"
597,R.,R715,039.0 o,39.0 o,43.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070427.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070511.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070635.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070551.CSV"
597,R.,R715,039.0 o,39.0 o,42.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070758.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070057.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070716.CSV"
597,R.,R715,039.0 o,39.0 o,44.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402070837.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071034.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071306.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071117.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071350.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071435.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071626.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071521.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071711.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071837.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072004.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071919.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402071751.CSV"
597,R.,R715,039.0 o,39.0 o,44.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072045.CSV"
597,R.,R715,039.0 o,39.0 o,42.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072131.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072215.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072426.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072256.CSV"
597,R.,R715,039.0 o,39.0 o,43.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072507.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072727.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402073134.CSV"
597,R.,R715,039.0 o,39.0 o,43.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072847.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402073021.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402074954.CSV"
597,R.,R715,039.0 o,39.0 o,43.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402075103.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402072943.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402073057.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402075203.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402073213.CSV"
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402075305.CSV"
597,R.,R715,039.0 o,39.0 o,43.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220402075451.CSV"
